str_date,str_time,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
2016.04.01,00:15,161.682,161.599,161.638,161.64,161.662,161.677,161.675,161.681,161.611,161.632,161.614
2016.04.01,00:30,161.599,161.638,161.64,161.662,161.677,161.675,161.681,161.611,161.632,161.614,161.411
2016.04.01,00:45,161.638,161.64,161.662,161.677,161.675,161.681,161.611,161.632,161.614,161.411,161.443
2016.04.01,01:00,161.64,161.662,161.677,161.675,161.681,161.611,161.632,161.614,161.411,161.443,161.514
2016.04.01,01:15,161.662,161.677,161.675,161.681,161.611,161.632,161.614,161.411,161.443,161.514,161.305
2016.04.01,01:30,161.677,161.675,161.681,161.611,161.632,161.614,161.411,161.443,161.514,161.305,161.305
2016.04.01,01:45,161.675,161.681,161.611,161.632,161.614,161.411,161.443,161.514,161.305,161.305,161.066
2016.04.01,02:00,161.681,161.611,161.632,161.614,161.411,161.443,161.514,161.305,161.305,161.066,161.101
2016.04.01,02:15,161.611,161.632,161.614,161.411,161.443,161.514,161.305,161.305,161.066,161.101,160.913
2016.04.01,02:30,161.632,161.614,161.411,161.443,161.514,161.305,161.305,161.066,161.101,160.913,160.74
2016.04.01,02:45,161.614,161.411,161.443,161.514,161.305,161.305,161.066,161.101,160.913,160.74,160.817
2016.04.01,03:00,161.411,161.443,161.514,161.305,161.305,161.066,161.101,160.913,160.74,160.817,160.812
2016.04.01,03:15,161.443,161.514,161.305,161.305,161.066,161.101,160.913,160.74,160.817,160.812,160.908
2016.04.01,03:30,161.514,161.305,161.305,161.066,161.101,160.913,160.74,160.817,160.812,160.908,160.892
2016.04.01,03:45,161.305,161.305,161.066,161.101,160.913,160.74,160.817,160.812,160.908,160.892,160.804
2016.04.01,04:00,161.305,161.066,161.101,160.913,160.74,160.817,160.812,160.908,160.892,160.804,160.814
2016.04.01,04:15,161.066,161.101,160.913,160.74,160.817,160.812,160.908,160.892,160.804,160.814,160.944
2016.04.01,04:30,161.101,160.913,160.74,160.817,160.812,160.908,160.892,160.804,160.814,160.944,160.95
2016.04.01,04:45,160.913,160.74,160.817,160.812,160.908,160.892,160.804,160.814,160.944,160.95,160.893
2016.04.01,05:00,160.74,160.817,160.812,160.908,160.892,160.804,160.814,160.944,160.95,160.893,160.87
2016.04.01,05:15,160.817,160.812,160.908,160.892,160.804,160.814,160.944,160.95,160.893,160.87,160.869
2016.04.01,05:30,160.812,160.908,160.892,160.804,160.814,160.944,160.95,160.893,160.87,160.869,160.791
2016.04.01,05:45,160.908,160.892,160.804,160.814,160.944,160.95,160.893,160.87,160.869,160.791,160.909
2016.04.01,06:00,160.892,160.804,160.814,160.944,160.95,160.893,160.87,160.869,160.791,160.909,160.942
2016.04.01,06:15,160.804,160.814,160.944,160.95,160.893,160.87,160.869,160.791,160.909,160.942,160.893
2016.04.01,06:30,160.814,160.944,160.95,160.893,160.87,160.869,160.791,160.909,160.942,160.893,161.085
2016.04.01,06:45,160.944,160.95,160.893,160.87,160.869,160.791,160.909,160.942,160.893,161.085,161.098
2016.04.01,07:00,160.95,160.893,160.87,160.869,160.791,160.909,160.942,160.893,161.085,161.098,161.153
2016.04.01,07:15,160.893,160.87,160.869,160.791,160.909,160.942,160.893,161.085,161.098,161.153,161.421
2016.04.01,07:30,160.87,160.869,160.791,160.909,160.942,160.893,161.085,161.098,161.153,161.421,161.216
2016.04.01,07:45,160.869,160.791,160.909,160.942,160.893,161.085,161.098,161.153,161.421,161.216,160.999
2016.04.01,08:00,160.791,160.909,160.942,160.893,161.085,161.098,161.153,161.421,161.216,160.999,160.873
2016.04.01,08:15,160.909,160.942,160.893,161.085,161.098,161.153,161.421,161.216,160.999,160.873,160.891
2016.04.01,08:30,160.942,160.893,161.085,161.098,161.153,161.421,161.216,160.999,160.873,160.891,161.231
2016.04.01,08:45,160.893,161.085,161.098,161.153,161.421,161.216,160.999,160.873,160.891,161.231,161.25
2016.04.01,09:00,161.085,161.098,161.153,161.421,161.216,160.999,160.873,160.891,161.231,161.25,161.03
2016.04.01,09:15,161.098,161.153,161.421,161.216,160.999,160.873,160.891,161.231,161.25,161.03,160.928
2016.04.01,09:30,161.153,161.421,161.216,160.999,160.873,160.891,161.231,161.25,161.03,160.928,160.935
2016.04.01,09:45,161.421,161.216,160.999,160.873,160.891,161.231,161.25,161.03,160.928,160.935,160.873
2016.04.01,10:00,161.216,160.999,160.873,160.891,161.231,161.25,161.03,160.928,160.935,160.873,160.841
